ip,classification,Harmless,Malicious,Suspicious,ASN
58.220.24.40,malicious,62,5,2,137697
58.220.41.251,malicious,62,4,1,137697
58.221.171.146,malicious,61,5,0,4134
58.222.117.98,malicious,60,5,1,4134
58.222.237.2,malicious,63,3,2,4134
58.224.36.61,malicious,65,1,1,9318
58.225.100.175,malicious,66,0,1,9318
58.230.66.232,malicious,61,4,0,9318
58.230.66.233,malicious,60,6,0,9318
58.230.66.234,malicious,57,9,0,9318
58.236.75.139,malicious,62,3,1,9318
58.236.75.141,malicious,61,6,1,9318
58.241.123.31,malicious,61,5,2,4837
58.241.237.210,malicious,61,6,2,4837
58.242.236.106,malicious,63,3,1,4837
58.247.254.228,malicious,64,1,1,138421
58.251.94.106,malicious,60,5,2,135061
58.252.232.223,malicious,64,2,2,17816
58.255.77.17,malicious,60,4,2,17816
58.30.26.196,malicious,62,4,1,17429
58.42.237.23,malicious,64,2,2,4134
58.42.237.24,malicious,59,5,1,4134
58.48.209.50,malicious,63,4,1,4134
58.51.206.108,malicious,63,1,0,4134
58.54.253.46,malicious,64,1,0,4134
58.56.89.50,malicious,60,6,1,4134
58.57.210.50,malicious,61,6,0,4134
58.59.129.34,malicious,65,1,1,141157
58.59.246.10,malicious,62,3,2,4134
58.59.70.10,malicious,61,4,2,4134
58.65.129.208,malicious,62,5,2,23674
58.65.162.226,malicious,59,6,1,23674
58.91.246.139,malicious,0,0,0,4713
59.0.150.234,malicious,58,8,1,4766
59.1.178.195,malicious,56,11,0,4766
59.1.210.223,malicious,62,4,0,4766
59.1.226.250,malicious,53,15,0,4766
59.108.154.189,malicious,65,1,1,4847
59.110.143.85,malicious,63,2,1,37963
59.110.164.152,malicious,62,4,2,37963
59.110.229.238,malicious,63,3,2,37963
59.110.230.117,malicious,64,0,2,37963
59.110.40.49,malicious,61,5,2,37963
59.110.46.83,malicious,60,6,2,37963
59.110.47.12,malicious,65,0,1,37963
59.110.6.48,malicious,62,5,1,37963
59.110.6.60,malicious,63,4,0,37963
59.110.69.238,malicious,62,4,0,37963
59.120.39.247,malicious,62,3,0,3462
59.12.57.140,malicious,55,11,1,4766
59.124.98.181,malicious,61,5,2,3462
59.125.213.161,malicious,62,4,0,3462
59.126.109.132,malicious,63,4,0,3462
59.126.116.120,malicious,61,5,0,3462
59.126.157.116,malicious,62,4,0,3462
59.126.44.129,malicious,62,5,2,3462
59.126.98.151,malicious,62,5,1,3462
59.127.11.243,malicious,62,5,0,3462
59.127.201.175,malicious,62,5,1,3462
59.127.215.171,malicious,62,4,0,3462
59.127.65.220,malicious,57,10,1,3462
59.138.11.83,malicious,60,9,1,2516
59.148.20.65,malicious,60,6,0,10103
