ip,classification,Harmless,Malicious,Suspicious
103.178.228.27,Unknown,61,3,3
59.182.27.255,Unknown,0,0,0
142.147.89.232,Unknown,62,1,0
94.182.0.113,Unknown,0,0,0
117.220.72.110,Unknown,0,0,0
117.211.243.41,Unknown,0,0,0
2.181.45.54,Unknown,0,0,0
151.235.147.48,Unknown,0,0,0
190.137.37.194,Unknown,0,0,0
2.179.135.205,Unknown,0,0,0
193.35.18.107,Unknown,59,7,0
165.227.136.109,Unknown,63,1,0
167.71.38.167,Unknown,63,2,0
170.231.196.2,Unknown,0,0,0
151.241.85.219,Unknown,0,0,0
85.75.163.34,Unknown,0,0,0
195.133.61.211,Unknown,61,1,1
79.32.26.33,Unknown,62,2,0
31.58.226.97,Unknown,0,0,0
13.52.163.80,Unknown,0,0,0
94.67.48.66,Unknown,0,0,0
117.243.246.202,Unknown,0,0,0
2.184.132.69,Unknown,64,1,0
1.234.41.218,Unknown,0,0,0
161.35.173.172,Unknown,0,0,0
175.164.148.98,Unknown,57,9,0
85.204.209.62,Unknown,0,0,0
2.179.151.255,Unknown,0,0,0
39.33.22.109,Unknown,0,0,0
117.243.241.13,Unknown,63,5,0
117.253.254.111,Unknown,0,0,0
95.182.120.215,Unknown,63,3,0
117.222.40.193,Unknown,0,0,0
220.246.124.106,Unknown,0,0,0
194.87.151.56,Unknown,52,15,3
104.248.152.18,Unknown,62,4,0
37.191.85.55,Unknown,0,0,0
130.43.79.112,Unknown,63,1,1
41.200.119.198,Unknown,0,0,0
179.191.48.136,Unknown,0,0,0
147.182.206.40,Unknown,60,4,0
35.216.211.228,Unknown,59,5,1
167.71.136.32,Unknown,64,1,0
134.209.102.47,Unknown,58,5,1
107.170.249.63,Unknown,60,6,2
20.114.203.66,Unknown,60,5,2
45.61.185.123,Unknown,60,4,1
68.183.190.223,Unknown,60,5,1
2.189.152.136,Unknown,0,0,0
117.89.132.156,Unknown,0,0,0
14.102.19.171,Unknown,62,1,0
139.59.20.196,Unknown,65,1,0
54.221.83.207,Unknown,0,0,0
194.55.224.149,Unknown,53,14,2
45.55.40.149,Unknown,61,2,0
2.183.88.62,Unknown,0,0,0
167.99.56.95,Unknown,63,1,0
31.56.1.130,Unknown,0,0,0
40.94.96.20,Unknown,66,0,1
89.47.200.27,Unknown,0,0,0
193.163.116.230,Unknown,0,0,0
114.234.198.205,Unknown,62,3,0
41.36.111.37,Unknown,0,0,0
195.178.120.37,Unknown,53,13,1
151.238.125.174,Unknown,0,0,0
2.35.0.253,Unknown,0,0,0
85.239.33.10,Unknown,0,0,0
49.72.7.247,Unknown,0,0,0
117.214.180.211,Unknown,0,0,0
151.235.17.57,Unknown,0,0,0
159.65.115.110,Unknown,63,1,0
117.199.45.22,Unknown,0,0,0
139.59.69.30,Unknown,65,1,0
59.95.214.8,Unknown,0,0,0
143.198.201.142,Unknown,63,3,0
83.55.197.247,Unknown,62,2,0
100.24.14.241,Unknown,0,0,0
2.184.139.102,Unknown,0,0,0
118.193.32.180,Unknown,62,3,2
3.80.58.101,Unknown,0,0,0
151.81.132.139,Unknown,0,0,0
14.23.91.82,Unknown,63,2,0
35.216.225.215,Unknown,61,3,0
