ip,classification,Harmless,Malicious,Suspicious
134.19.179.235,malicious,64,1,1
216.218.206.117,malicious,0,0,0
71.6.199.23,malicious,0,0,0
152.32.247.49,benign,57,10,0
223.19.103.72,malicious,0,0,0
109.182.48.172,malicious,0,0,0
65.49.1.24,malicious,62,2,0
84.54.51.76,malicious,65,0,1
95.181.161.81,malicious,63,3,0
186.33.126.64,malicious,0,0,0
138.68.208.8,benign,58,9,0
216.218.206.83,benign,57,9,1
137.184.208.30,malicious,58,6,2
188.163.102.134,malicious,0,0,0
27.215.83.86,malicious,0,0,0
80.191.184.106,malicious,0,0,0
190.4.1.150,malicious,62,3,2
1.22.221.82,malicious,0,0,0
205.210.31.85,malicious,0,0,0
159.65.219.198,malicious,0,0,0
2.183.116.31,malicious,0,0,0
206.0.225.165,malicious,0,0,0
45.83.64.72,malicious,0,0,0
205.210.31.98,malicious,0,0,0
91.224.92.110,malicious,65,0,1
36.99.136.128,malicious,0,0,0
184.105.247.222,malicious,62,3,2
8.130.87.187,malicious,0,0,0
87.236.176.110,malicious,0,0,0
213.142.213.26,malicious,0,0,0
167.94.146.56,malicious,0,0,0
109.201.30.94,malicious,62,3,0
205.210.31.183,malicious,65,0,0
216.218.206.97,malicious,0,0,0
163.125.138.80,malicious,0,0,0
162.216.149.100,malicious,0,0,0
198.199.111.87,malicious,63,2,0
87.236.176.13,malicious,0,0,0
120.29.225.101,malicious,58,7,0
74.82.47.61,malicious,60,4,0
79.137.65.46,malicious,0,0,0
185.233.19.4,malicious,0,0,0
192.241.219.51,malicious,0,0,0
43.129.33.99,malicious,0,0,0
111.224.248.162,benign,58,9,0
2.37.139.100,malicious,61,4,0
192.241.234.19,malicious,0,0,0
206.189.19.14,malicious,0,0,0
91.109.136.112,malicious,0,0,0
27.2.70.49,malicious,0,0,0
198.199.92.67,malicious,63,1,0
83.136.166.130,malicious,64,1,0
117.215.4.161,malicious,64,0,0
157.230.58.3,malicious,0,0,0
87.6.239.104,malicious,0,0,0
151.239.246.181,malicious,0,0,0
125.164.21.77,malicious,0,0,0
103.252.119.153,malicious,0,0,0
114.100.177.35,malicious,0,0,0
170.64.130.197,malicious,62,0,0
59.91.173.179,malicious,59,6,3
103.122.163.228,malicious,0,0,0
165.154.172.85,malicious,0,0,0
125.84.237.30,malicious,0,0,0
